purchase_date,total_sales_forecast,total_sales_lower_bound,total_sales_upper_bound,trend_component,weekly,sum_seasonal_components
2017-10-14,18134.87361177096,8103.285567541976,28405.48924156176,22912.827648578354,-4777.954036807394,-4777.954036807394
2017-10-15,19056.52976433796,7878.508259583778,29526.985417144842,22975.710317538153,-3919.1805532001936,-3919.1805532001936
2017-10-16,26184.382873528593,15416.79113282207,37000.93571561347,23038.59297895475,3145.7898945738416,3145.7898945738416
2017-10-17,25683.616820930045,16032.769705377183,36398.75500553248,23101.475640371358,2582.1411805586868,2582.1411805586868
2017-10-18,24915.36181335546,13984.880863772769,34637.40957592344,23164.35830178796,1751.0035115674993,1751.0035115674993
2017-10-19,24161.576972123064,13857.886609925796,34677.1099678391,23227.24096320456,934.3360089185048,934.3360089185048
2017-10-20,23573.987619025058,12922.945230074976,34287.511835564495,23290.123624621167,283.86399440389,283.86399440389
2017-10-21,18575.052249229375,7053.090587408762,28704.202451657675,23353.00628603777,-4777.954036808396,-4777.954036808396
2017-10-22,19496.70839425192,9197.060748946073,29476.530390636693,23415.888947454376,-3919.1805532024564,-3919.1805532024564
2017-10-23,26624.56150344894,15772.26788174471,38009.090431966804,23478.77160887097,3145.789894577967,3145.789894577967
2017-10-24,26123.795450850102,15110.637718208527,36846.50886838244,23541.654270287574,2582.1411805625276,2582.1411805625276
2017-10-25,25355.54044327063,15276.081122529851,34982.49235761114,23604.53693170418,1751.0035115664505,1751.0035115664505
2017-10-26,24601.755602037047,14130.189847840114,35036.31036608871,23667.419593120783,934.3360089162641,934.3360089162641
2017-10-27,24014.166248942114,12837.846302423526,34278.1606737359,23730.302254537382,283.86399440473116,283.86399440473116
2017-10-28,19015.23087914459,8705.729577506441,29033.2249535519,23793.18491595399,-4777.9540368093985,-4777.9540368093985
2017-10-29,19936.88702416511,9532.337241641195,31000.693296275644,23856.06757737059,-3919.180553205483,-3919.180553205483
2017-10-30,27064.740133350864,16487.54637078742,37742.86020813343,23918.950238787194,3145.78989456367,3145.78989456367
2017-10-31,26563.97408076437,15868.964290831536,37213.29981113936,23981.832900203794,2582.1411805605744,2582.1411805605744
2017-11-01,25795.7190731858,15553.292346107559,36598.80379281147,24044.715561620396,1751.0035115654027,1751.0035115654027
2017-11-02,25041.934231958385,14143.362572006503,35757.628586574996,24107.598223037003,934.3360089213829,934.3360089213829
2017-11-03,24454.344878857522,14560.256643430768,34983.06574193794,24170.480884453606,283.8639944039166,283.8639944039166
2017-11-04,19455.409504329058,9624.672749007661,29978.590937809066,24233.363541138828,-4777.954036809769,-4777.954036809769
2017-11-05,20377.06564462138,10122.799941855093,30756.46521716433,24296.246197824057,-3919.1805532026788,-3919.1805532026788
2017-11-06,27504.918749077086,16230.001525162725,37747.00427844257,24359.12885450929,3145.789894567795,3145.789894567795
2017-11-07,27004.15269175425,16287.702477507295,38110.3886341335,24422.011511194516,2582.141180559733,2582.141180559733
2017-11-08,26235.897679444097,15773.036437707151,36589.64867306246,24484.894167879742,1751.0035115643536,1751.0035115643536
2017-11-09,25482.112833482457,14336.088125745884,36127.91249519993,24547.77682456497,934.3360089174863,934.3360089174863
2017-11-10,24894.523475654954,14228.658136133929,35683.78817311208,24610.659481250197,283.86399440475793,283.86399440475793
2017-11-11,19895.58810112466,9150.326272919076,30235.19407333028,24673.54213793543,-4777.95403681077,-4777.95403681077
2017-11-12,20817.24424142078,9696.85282669901,30763.015832353994,24736.424794620656,-3919.1805531998752,-3919.1805531998752
2017-11-13,27945.097345877806,17313.628552301336,38905.7649048053,24799.307451305885,3145.7898945719207,3145.7898945719207
2017-11-14,27444.331288552465,16615.240208031675,37560.30694933056,24862.190107991115,2582.1411805613498,2582.1411805613498
2017-11-15,26676.076276243068,15071.3373063647,37017.76706008058,24925.072764676344,1751.0035115667242,1751.0035115667242
2017-11-16,25922.29143028252,15418.790838849662,36371.302598085735,24987.95542136157,934.3360089209496,934.3360089209496
2017-11-17,25334.702072447188,14334.446108350305,36629.49282074648,25050.838078046796,283.8639944003928,283.8639944003928
2017-11-18,20335.766697914558,9472.708117856657,30940.781263059147,25113.72073473203,-4777.954036817473,-4777.954036817473
2017-11-19,21257.422838220187,10416.18019723729,31816.557267936398,25176.60339141726,-3919.1805531970713,-3919.1805531970713
2017-11-20,28385.275942669316,18155.34658026237,39205.931599114236,25239.48604810248,3145.789894566835,3145.789894566835
2017-11-21,27884.50988534822,17979.741723383504,38254.77004211899,25302.36870478771,2582.141180560508,2582.141180560508
2017-11-22,27116.25487303862,16479.03367305521,37942.675172403724,25365.251361472943,1751.0035115656756,1751.0035115656756
2017-11-23,26362.47002707688,15324.964027712665,36801.30765037757,25428.134018158173,934.3360089187086,934.3360089187086
2017-11-24,25764.989425324868,14718.481299559046,36573.45717620193,25481.12543092884,283.86399439602786,283.86399439602786
2017-11-25,20756.16280689307,9915.81600171005,31419.274332981313,25534.11684369951,-4777.954036806441,-4777.954036806441
2017-11-26,21667.927703270085,11356.903684022274,32014.299715177633,25587.108256470183,-3919.180553200098,-3919.180553200098
2017-11-27,28785.889563808385,17982.58472521091,38825.764463478554,25640.09966924085,3145.7898945675315,3145.7898945675315
2017-11-28,28275.232262570076,18133.500752989083,38693.86834471982,25693.09108201152,2582.1411805585544,2582.1411805585544
2017-11-29,27497.08600634824,16431.84078498164,38282.30437055309,25746.08249478219,1751.003511566051,1751.003511566051
2017-11-30,26733.40991647136,16223.3389457073,36985.849272916625,25799.073907552865,934.336008918492,934.336008918492
2017-12-01,26135.929314723955,15784.39114396055,36275.40725613903,25852.065320323534,283.8639944004196,283.8639944004196
2017-12-02,21127.102696281057,10567.623400750414,31316.56255302511,25905.056733094203,-4777.954036813144,-4777.954036813144
2017-12-03,22038.867592651615,10953.074382798251,31695.555887698396,25958.048145864872,-3919.1805532132576,-3919.1805532132576
2017-12-04,29156.829453203773,18750.562355704336,40378.135958136416,26011.039558635544,3145.7898945682286,3145.7898945682286
2017-12-05,28646.172151962815,17999.14860162917,38324.75265471935,26064.030971406213,2582.1411805566013,2582.1411805566013
2017-12-06,27868.025895742456,17534.640709583007,38325.54719642601,26117.022384176882,1751.0035115655726,1751.0035115655726
2017-12-07,27104.34980586748,16406.866290851365,37048.64314204799,26170.01379694755,934.3360089199308,934.3360089199308
2017-12-08,26506.869204119484,16336.27995008435,36370.908408898445,26223.005209718223,283.8639944012602,283.8639944012602
2017-12-09,21498.042585674746,11126.769229703523,33158.27847697583,26275.996622488892,-4777.954036814146,-4777.954036814146
2017-12-10,22409.807482054173,12262.599992605476,33168.16207719446,26328.98803525956,-3919.1805532053877,-3919.1805532053877
2017-12-11,29527.769342593372,18747.070989944503,40849.22277604779,26381.97944803023,3145.7898945631423,3145.7898945631423
2017-12-12,29017.112041360237,17797.947504355874,39457.90447603354,26434.970860800906,2582.1411805593293,2582.1411805593293
2017-12-13,28237.34590452846,17438.773185776023,38385.46385880522,26486.342392961942,1751.003511566519,1751.003511566519
2017-12-14,27472.049934044346,17115.76003959646,37469.49592911471,26537.713925122975,934.3360089213695,934.3360089213695
2017-12-15,26872.94945168611,16054.232369046187,36969.37418564956,26589.085457284007,283.8639944021011,283.8639944021011
2017-12-16,21862.5029526299,11126.144304809626,32810.020099068686,26640.456989445047,-4777.9540368151465,-4777.9540368151465
2017-12-17,22772.647968387533,12353.304850906305,33594.39120105052,26691.82852160608,-3919.1805532185476,-3919.1805532185476
2017-12-18,29888.98994833438,18859.03766979048,39654.74007668782,26743.200053767112,3145.7898945672678,3145.7898945672678
2017-12-19,29376.712766486635,19162.933741257362,40506.512035777225,26794.571585928148,2582.1411805584885,2582.1411805584885
2017-12-20,28596.946629654656,17929.07480772309,39286.3805331072,26845.943118089184,1751.0035115654707,1751.0035115654707
2017-12-21,27831.65065916935,17382.8209788157,39100.12141045664,26897.31465025022,934.3360089191285,934.3360089191285
2017-12-22,27232.550176817746,16456.0377677706,37588.287653095125,26948.686182411253,283.86399440649257,283.86399440649257
2017-12-23,22222.10367776247,11328.511117172919,33096.1091028549,27000.057714572285,-4777.954036809817,-4777.954036809817
2017-12-24,23132.248693522648,12276.606863070097,34107.95354278558,27051.429246733325,-3919.180553210677,-3919.180553210677
2017-12-25,30248.590673465755,19805.4049059243,40478.946254541996,27102.80077889436,3145.789894571394,3145.789894571394
2017-12-26,29736.313491613037,18601.07064648449,39218.45825643417,27154.17231105539,2582.1411805576477,2582.1411805576477
2017-12-27,28956.547354784267,18430.45337357635,38938.91010973354,27205.543843216426,1751.0035115678409,1751.0035115678409
2017-12-28,28191.25138430006,17510.77262983293,39520.27218237629,27256.915375377466,934.3360089225918,934.3360089225918
2017-12-29,27592.150901940626,16278.86686984408,37647.73670738611,27308.2869075385,283.8639944021277,283.8639944021277
2017-12-30,22581.704402895044,12155.946477605985,32938.9371488114,27359.65843969953,-4777.954036804487,-4777.954036804487
2017-12-31,23491.849418652695,12682.147166731302,33791.49918338389,27411.029971860567,-3919.180553207874,-3919.180553207874
2018-01-01,30608.19139859369,20320.41518924979,41526.01266871747,27462.4015040216,3145.7898945720904,3145.7898945720904
2018-01-02,30095.91418260914,19480.970175420283,40516.94504697453,27513.773002048765,2582.1411805603752,2582.1411805603752
2018-01-03,29316.14801164272,18750.417240714127,39927.697932614785,27565.144500075927,1751.0035115667922,1751.0035115667922
2018-01-04,28550.852007023444,17935.180111958205,39560.0030830992,27616.515998103092,934.3360089203508,934.3360089203508
2018-01-05,27951.75149052802,17993.582113338984,38750.5585187891,27667.887496130257,283.8639943977628,283.8639943977628
2018-01-06,22941.30495735193,12720.403366244342,33313.49504031233,27719.258994157422,-4777.9540368054895,-4777.9540368054895
2018-01-07,23851.44993897368,14183.74517276923,34949.34536342983,27770.63049218458,-3919.1805532108997,-3919.1805532108997
2018-01-08,30967.79188478218,20598.60852475433,41198.96059599627,27822.001990211746,3145.789894570434,3145.789894570434
2018-01-09,30455.51466879733,20039.69450286705,41302.6284670229,27873.373488238907,2582.141180558422,2582.141180558422
2018-01-10,29675.748497831817,18987.955155468662,39956.25558078481,27924.744986266072,1751.0035115657436,1751.0035115657436
2018-01-11,28910.452493215023,18272.9327671765,39812.64409132649,27976.116484293234,934.3360089217896,934.3360089217896
2018-01-12,28311.351976719005,18259.92862573014,39419.06998762935,28027.4879823204,283.8639943986039,283.8639943986039
2018-01-13,23300.905443541702,12771.438893129744,33638.90088668026,28078.85948034756,-4777.95403680586,-4777.95403680586
2018-01-14,24211.05042516663,13402.014600699958,34880.11125634646,28130.230978374726,-3919.1805532080957,-3919.1805532080957
2018-01-15,31327.39237097302,20464.801254282866,41575.02415744142,28181.602476401888,3145.789894571131,3145.789894571131
2018-01-16,30815.115154989093,20261.388304447693,41118.61065299737,28232.973974429053,2582.1411805600387,2582.1411805600387
2018-01-17,30035.34898402091,19550.48818500947,40933.16010219207,28284.345472456218,1751.003511564695,1751.003511564695
2018-01-18,29270.052979401273,18133.34774967572,39790.16852006187,28335.71697048338,934.3360089178934,934.3360089178934
2018-01-19,28670.952462908328,17671.28577513812,38547.244687206534,28387.088468510537,283.86399439778916,283.86399439778916
2018-01-20,23660.50592973654,12713.433944682045,33840.17283557242,28438.459966537703,-4777.954036801161,-4777.954036801161
2018-01-21,24568.346135887907,14007.87232921707,35468.3260496348,28487.5266890932,-3919.1805532052913,-3919.1805532052913
2018-01-22,31682.38330622395,21116.10987413273,41852.267464798984,28536.593411648693,3145.7898945752568,3145.7898945752568
2018-01-23,31167.801314768065,20636.852194320374,41867.61660772444,28585.660134204187,2582.1411805638786,2582.1411805638786
2018-01-24,30385.73036832675,19854.042385272118,41988.17538166696,28634.726856759684,1751.0035115670655,1751.0035115670655
2018-01-25,29618.12958823451,18886.07540837874,39181.053316978105,28683.793579315177,934.3360089193322,934.3360089193322
2018-01-26,29016.72429627806,18797.07936464061,38959.687087883,28732.86030187067,283.86399440738643,283.86399440738643
2018-01-27,24003.972987618297,13399.475308587085,34097.757886811036,28781.92702442616,-4777.954036807862,-4777.954036807862
2018-01-28,24911.81319377917,13691.499323290931,35298.12121557125,28830.993746981658,-3919.1805532024873,-3919.1805532024873
2018-01-29,32025.8503641039,20536.42822155705,43119.01430149622,28880.060469537155,3145.789894566742,3145.789894566742
2018-01-30,31511.268372654573,21524.320828048043,42346.06233822794,28929.12719209265,2582.1411805619264,2582.1411805619264
2018-01-31,30729.197426212733,19923.150936596314,41156.1595211147,28978.19391464814,1751.0035115645924,1751.0035115645924
2018-02-01,29961.59664612441,19150.696802503826,40744.595888053635,29027.26063720364,934.3360089207708,934.3360089207708
2018-02-02,29360.191354156945,18475.97426407266,38755.39607716546,29076.32735975913,283.86399439781576,283.86399439781576
2018-02-03,24347.44004550639,12760.074535740261,34456.23847823355,29125.394082314626,-4777.9540368082335,-4777.9540368082335
2018-02-04,25255.2802516646,14705.617455413761,37034.10830526339,29174.460804870116,-3919.1805532055146,-3919.1805532055146
2018-02-05,32369.31742199648,21846.282464538162,43676.26220607641,29223.527527425613,3145.7898945708675,3145.7898945708675
2018-02-06,31854.735430542194,21235.03084671331,42103.07779873829,29272.59424998111,2582.141180561085,2582.141180561085
2018-02-07,31072.664484101573,20419.568804600636,41496.68891300494,29321.660972536603,1751.003511564968,1751.003511564968
2018-02-08,30305.06370401431,19324.07950051176,40816.96991628468,29370.727695092097,934.3360089222099,934.3360089222099
2018-02-09,29703.658412055007,20029.37796478561,39769.05684381496,29419.794417647594,283.86399440741326,283.86399440741326
2018-02-10,24684.20910668796,14304.537777998654,34761.85372223283,29462.163143497193,-4777.954036809235,-4777.954036809235
2018-02-11,25585.351316139022,15092.545726361423,36442.529266487225,29504.5318693468,-3919.1805532077774,-3919.1805532077774
2018-02-12,32692.690489765613,21731.56420949198,42182.61934132681,29546.900595196403,3145.78989456921,3145.78989456921
2018-02-13,32171.410501604023,21605.268110900317,42141.132961234674,29589.269321046006,2582.1411805580183,2582.1411805580183
2018-02-14,31382.64155846295,20256.315707124115,42160.83581672846,29631.638046895612,1751.0035115673393,1751.0035115673393
2018-02-15,30608.342781663534,19967.68223487038,41061.41116310095,29674.00677274522,934.3360089183135,934.3360089183135
2018-02-16,30000.23949299786,18791.954078023133,40445.771380076076,29716.375498594814,283.86399440304837,283.86399440304837
