purchase_date,total_sales_forecast,total_sales_lower_bound,total_sales_upper_bound,trend_component,weekly,combined_holiday_effect
2018-06-04,33457.934515809204,23175.94252366631,43657.33782572953,29920.449897185103,3537.4846186241034,0.0
2018-06-05,32352.72482034135,21482.91259185954,42139.871786727635,29895.863390746206,2456.861429595145,0.0
2018-06-06,31520.503326267917,21560.88125609747,42916.86019402873,29871.276884307314,1649.226441960602,0.0
2018-06-07,30797.142487895308,19809.00315111844,41039.92079436477,29846.69037786842,950.4521100268856,0.0
2018-06-08,30177.226367581905,19935.3461069248,40372.59671662029,29822.103871429525,355.1224961523807,0.0
2018-06-09,24925.25064928349,15048.069809169116,35621.10487272496,29797.517364990632,-4872.266715707142,0.0
2018-06-10,25696.05047791457,15557.753594341339,36017.77511762094,29772.93085855174,-4076.8803806371684,0.0
2018-06-11,33285.828970737624,22536.832200330817,43100.28104900381,29748.344352112847,3537.484618624775,0.0
2018-06-12,32180.61927526695,21497.67315730083,43045.7685130743,29723.757845673954,2456.8614295929956,0.0
2018-06-13,31348.397781198546,20801.470837671674,42055.294046809206,29699.171339235065,1649.2264419634803,0.0
2018-06-14,30625.036942820247,20032.75193303588,41056.80538439228,29674.584832796172,950.4521100240735,0.0
2018-06-15,30005.12082250489,19486.238113201904,40003.56076235875,29649.99832635728,355.1224961476112,0.0
2018-06-16,24753.14510421033,14225.254253952331,34448.96471503159,29625.411819918383,-4872.266715708052,0.0
2018-06-17,25523.944932839695,15229.76031425844,36549.00940456865,29600.82531347949,-4076.880380639796,0.0
2018-06-18,33113.72342566375,22484.1851128502,43325.34873047612,29576.238807040598,3537.4846186231553,0.0
2018-06-19,32008.51373019874,21687.252170479653,41820.17381529031,29551.652300601705,2456.861429597035,0.0
2018-06-20,31176.29223612512,21120.807475506706,41607.70418584763,29527.065794162812,1649.2264419623077,0.0
2018-06-21,30452.931397749868,20018.579559003792,41334.717869439926,29502.47928772392,950.4521100259489,0.0
2018-06-22,29833.01527743411,19357.59449172546,40702.18075665822,29477.892781285027,355.122496149086,0.0
2018-06-23,24581.03955913717,13980.531325646756,34932.339024549954,29453.30627484613,-4872.266715708962,0.0
