iter	Passed	Remaining
694	39549	17356
695	39574	17285
696	39603	17216
697	39630	17146
698	39655	17076
699	39681	17006
700	39708	16936
701	39736	16868
702	39764	16799
703	39798	16733
704	39826	16665
705	39854	16596
706	39882	16528
707	39910	16460
708	39971	16405
709	40034	16351
710	40071	16287
711	40100	16220
712	40123	16150
713	40148	16082
714	40168	16011
715	40191	15941
716	40212	15871
717	40232	15801
718	40255	15732
719	40277	15663
720	40298	15593
721	40336	15531
722	40385	15472
723	40419	15408
724	40440	15339
725	40499	15284
726	40525	15218
727	40546	15149
728	40568	15081
729	40589	15012
730	40612	14944
731	40635	14877
732	40663	14811
733	40692	14747
734	40718	14680
735	40742	14614
736	40765	14547
737	40789	14480
738	40812	14414
739	40833	14346
740	40853	14279
741	40879	14214
742	40902	14147
743	40921	14080
744	40943	14014
745	40967	13948
746	40992	13883
747	41029	13822
748	41078	13765
749	41123	13707
750	41153	13644
751	41175	13579
752	41211	13518
753	41234	13453
754	41257	13388
755	41278	13322
756	41307	13259
757	41352	13202
758	41388	13141
759	41414	13078
760	41438	13014
761	41465	12951
762	41488	12886
763	41512	12823
764	41536	12759
765	41581	12702
766	41604	12638
767	41624	12574
768	41643	12509
769	41666	12445
770	41688	12382
771	41707	12317
772	41726	12253
773	41755	12192
774	41778	12129
775	41800	12066
776	41820	12002
777	41842	11939
778	41906	11888
779	41950	11832
780	42006	11779
781	42029	11716
782	42051	11654
783	42075	11592
784	42110	11533
785	42129	11470
786	42151	11408
787	42171	11345
788	42191	11283
789	42216	11222
790	42236	11159
791	42255	11097
792	42277	11035
793	42307	10976
794	42332	10915
795	42358	10855
796	42385	10795
797	42404	10733
798	42422	10671
799	42443	10610
800	42465	10550
801	42484	10488
802	42503	10427
803	42525	10366
804	42547	10306
805	42568	10246
806	42591	10186
807	42613	10125
808	42653	10070
809	42674	10010
810	42694	9949
811	42712	9889
812	42731	9828
813	42749	9768
814	42768	9708
815	42789	9648
816	42807	9588
817	42825	9528
818	42842	9468
819	42860	9408
820	42876	9348
821	42893	9288
822	42910	9228
823	42928	9169
824	42946	9109
825	42966	9051
826	42984	8991
827	43002	8932
828	43019	8873
829	43045	8816
830	43065	8758
831	43083	8699
832	43100	8640
833	43117	8582
834	43136	8523
835	43163	8467
836	43182	8409
837	43199	8351
838	43220	8293
839	43237	8235
840	43255	8177
841	43285	8122
842	43304	8065
843	43324	8007
844	43354	7952
845	43374	7895
846	43392	7838
847	43414	7781
848	43433	7724
849	43451	7667
850	43478	7612
851	43495	7555
852	43515	7499
853	43532	7442
854	43551	7385
855	43569	7329
856	43587	7273
857	43602	7216
858	43623	7160
859	43643	7104
860	43663	7049
861	43692	6994
862	43718	6940
863	43738	6884
864	43759	6829
865	43777	6773
866	43796	6718
867	43813	6662
868	43833	6607
869	43849	6552
870	43866	6496
871	43895	6443
872	43915	6388
873	43936	6334
874	43957	6279
875	43974	6224
876	43990	6169
877	44005	6114
878	44021	6059
879	44037	6005
880	44053	5950
881	44070	5896
882	44086	5841
883	44101	5787
884	44116	5732
885	44133	5678
886	44152	5624
887	44167	5570
888	44183	5516
889	44201	5463
890	44223	5410
891	44242	5356
892	44269	5304
893	44291	5251
894	44315	5198
895	44347	5147
896	44365	5094
897	44383	5041
898	44403	4988
899	44420	4935
900	44437	4882
901	44454	4829
902	44471	4777
903	44487	4724
904	44503	4671
905	44521	4619
906	44538	4566
907	44555	4514
908	44572	4462
909	44587	4409
910	44605	4357
911	44620	4305
912	44636	4253
913	44653	4201
914	44671	4149
915	44689	4098
916	44710	4046
917	44726	3995
918	44749	3944
919	44764	3892
920	44779	3840
921	44794	3789
922	44807	3737
923	44822	3686
924	44838	3635
925	44853	3584
926	44867	3533
927	44882	3482
928	44898	3431
929	44915	3380
930	44929	3329
931	44945	3279
932	44960	3228
933	44974	3178
934	44990	3127
935	45005	3077
936	45019	3026
937	45032	2976
938	45047	2926
939	45063	2876
940	45078	2826
941	45093	2776
942	45108	2726
943	45129	2677
944	45145	2627
945	45159	2577
946	45173	2528
947	45188	2478
948	45203	2429
949	45222	2380
950	45249	2331
951	45267	2282
952	45292	2233
953	45321	2185
954	45344	2136
955	45364	2087
956	45384	2039
957	45402	1990
958	45418	1941
959	45436	1893
960	45452	1844
961	45468	1796
962	45603	1752
963	45645	1704
964	45668	1656
965	45690	1608
966	45712	1560
967	45743	1512
968	45764	1464
969	45783	1415
970	45824	1368
971	45847	1320
972	45874	1272
973	45893	1225
974	45910	1177
975	45927	1129
976	45942	1081
977	45957	1033
978	45974	986
979	45993	938
980	46017	891
981	46033	843
982	46049	796
983	46064	749
984	46080	701
985	46099	654
986	46116	607
987	46132	560
988	46151	513
989	46168	466
990	46184	419
991	46201	372
992	46227	325
993	46246	279
994	46262	232
995	46282	185
996	46313	139
997	46332	92
998	46349	46
999	46370	0
